adresse;latitude;longitude
2007_1;-15.8041831;-47.8937749
2007_2;-15.71836875;-47.9950273035318
2007_3;-15.71836875;-47.9950273035318
2007_4;-15.8105112;-47.8962855
2007_5;-15.8059174;-47.8916185
